image_name,label,tvt,image_link,x_pos,y_pos,image_uq,true,pred,prob_0,prob_1,prob_2
test_TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f_4_12.jpeg,Solid_Tissue_Normal,test,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f_files/5.0/4_12.jpeg,4,12,TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f,0,2,0.0081,0.342,0.65
test_TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f_13_11.jpeg,Solid_Tissue_Normal,test,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f_files/5.0/13_11.jpeg,13,11,TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f,0,1,0.0935,0.6399,0.2666
test_TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f_5_3.jpeg,Solid_Tissue_Normal,test,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f_files/5.0/5_3.jpeg,5,3,TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f,0,2,0.0666,0.0111,0.9223
test_TCGA-55-6971-11A-01-TS1.ece1687e-74b2-43d2-a397-7c630d9b70cf_9_7.jpeg,Solid_Tissue_Normal,test,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-55-6971-11A-01-TS1.ece1687e-74b2-43d2-a397-7c630d9b70cf_files/5.0/9_7.jpeg,9,7,TCGA-55-6971-11A-01-TS1.ece1687e-74b2-43d2-a397-7c630d9b70cf,0,2,0.0354,0.3914,0.5732
test_TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f_5_7.jpeg,Solid_Tissue_Normal,test,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f_files/5.0/5_7.jpeg,5,7,TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f,0,2,0.0903,0.1345,0.7752
test_TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f_9_12.jpeg,Solid_Tissue_Normal,test,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f_files/5.0/9_12.jpeg,9,12,TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f,0,1,0.0865,0.5853,0.3283
test_TCGA-66-2765-11A-01-BS1.03683356-18f2-4deb-a6ff-867648b60e76_10_3.jpeg,Solid_Tissue_Normal,test,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-66-2765-11A-01-BS1.03683356-18f2-4deb-a6ff-867648b60e76_files/5.0/10_3.jpeg,10,3,TCGA-66-2765-11A-01-BS1.03683356-18f2-4deb-a6ff-867648b60e76,0,2,0.198,0.2534,0.5486
test_TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f_6_4.jpeg,Solid_Tissue_Normal,test,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f_files/5.0/6_4.jpeg,6,4,TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f,0,1,0.1478,0.7464,0.1059
test_TCGA-55-6969-11A-01-TS1.09a0b800-a11c-4a6e-b95a-f85b573b5284_25_6.jpeg,Solid_Tissue_Normal,test,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-55-6969-11A-01-TS1.09a0b800-a11c-4a6e-b95a-f85b573b5284_files/5.0/25_6.jpeg,25,6,TCGA-55-6969-11A-01-TS1.09a0b800-a11c-4a6e-b95a-f85b573b5284,0,2,0.0741,0.0503,0.8756
test_TCGA-66-2765-11A-01-BS1.03683356-18f2-4deb-a6ff-867648b60e76_3_8.jpeg,Solid_Tissue_Normal,test,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-66-2765-11A-01-BS1.03683356-18f2-4deb-a6ff-867648b60e76_files/5.0/3_8.jpeg,3,8,TCGA-66-2765-11A-01-BS1.03683356-18f2-4deb-a6ff-867648b60e76,0,2,0.02,0.1942,0.7858
test_TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f_6_5.jpeg,Solid_Tissue_Normal,test,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f_files/5.0/6_5.jpeg,6,5,TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f,0,2,0.2973,0.0371,0.6656
test_TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f_4_4.jpeg,Solid_Tissue_Normal,test,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f_files/5.0/4_4.jpeg,4,4,TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f,0,2,0.0373,0.3116,0.651
test_TCGA-55-6971-11A-01-TS1.ece1687e-74b2-43d2-a397-7c630d9b70cf_2_5.jpeg,Solid_Tissue_Normal,test,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-55-6971-11A-01-TS1.ece1687e-74b2-43d2-a397-7c630d9b70cf_files/5.0/2_5.jpeg,2,5,TCGA-55-6971-11A-01-TS1.ece1687e-74b2-43d2-a397-7c630d9b70cf,0,2,0.0978,0.0465,0.8557
test_TCGA-55-6969-11A-01-TS1.09a0b800-a11c-4a6e-b95a-f85b573b5284_20_3.jpeg,Solid_Tissue_Normal,test,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-55-6969-11A-01-TS1.09a0b800-a11c-4a6e-b95a-f85b573b5284_files/5.0/20_3.jpeg,20,3,TCGA-55-6969-11A-01-TS1.09a0b800-a11c-4a6e-b95a-f85b573b5284,0,2,0.0192,0.2797,0.7011
test_TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f_1_6.jpeg,Solid_Tissue_Normal,test,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f_files/5.0/1_6.jpeg,1,6,TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f,0,2,0.0464,0.0822,0.8714
test_TCGA-55-6969-11A-01-TS1.09a0b800-a11c-4a6e-b95a-f85b573b5284_5_3.jpeg,Solid_Tissue_Normal,test,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-55-6969-11A-01-TS1.09a0b800-a11c-4a6e-b95a-f85b573b5284_files/5.0/5_3.jpeg,5,3,TCGA-55-6969-11A-01-TS1.09a0b800-a11c-4a6e-b95a-f85b573b5284,0,1,0.0964,0.5254,0.3782
test_TCGA-55-6969-11A-01-TS1.09a0b800-a11c-4a6e-b95a-f85b573b5284_17_3.jpeg,Solid_Tissue_Normal,test,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-55-6969-11A-01-TS1.09a0b800-a11c-4a6e-b95a-f85b573b5284_files/5.0/17_3.jpeg,17,3,TCGA-55-6969-11A-01-TS1.09a0b800-a11c-4a6e-b95a-f85b573b5284,0,2,0.1257,0.0882,0.7861
test_TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f_14_11.jpeg,Solid_Tissue_Normal,test,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f_files/5.0/14_11.jpeg,14,11,TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f,0,2,0.0675,0.4159,0.5166
test_TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f_3_7.jpeg,Solid_Tissue_Normal,test,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f_files/5.0/3_7.jpeg,3,7,TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f,0,1,0.0561,0.516,0.4279
